source,target
1,2165
2,3031
2,3127
6,2256
7,2865
9,2002
9,2052
9,2225
9,2278
10,2581
11,2198
11,2299
11,2373
14,1996
14,2110
14,2212
14,2252
14,2370
14,2519
14,2606
14,2979
14,3000
14,3010
14,3065
14,3074
15,2041
15,2146
15,2160
15,2211
15,2236
15,2238
15,2338
15,2384
15,2465
15,2539
15,2564
15,2580
15,2653
15,2966
15,2992
15,3034
15,3118
15,3138
15,3172
17,3017
18,2897
19,2075
20,1993
20,2010
20,2266
20,2295
20,2366
20,2576
20,2668
20,2796
20,3171
25,2006
25,2175
26,2122
26,2129
29,2075
30,2198
30,2299
30,2309
30,2373
30,2683
30,2793
31,2213
31,2765
31,3060
32,2135
33,1978
33,2130
33,2143
33,2170
33,2363
33,2691
33,2709
33,2742
33,2766
34,2108
34,2333
34,2790
34,3019
35,2146
35,2211
35,2238
35,2384
35,2539
35,2580
35,2966
35,2992
35,3034
35,3118
45,2338
46,2412
47,2390
51,2285
52,2285
53,2391
54,3158
56,2906
57,3017
58,2287
58,2290
58,2732
58,3149
60,2287
60,2290
60,2732
60,3149
61,3017
62,3062
63,3044
64,2056
64,2070
64,2774
64,2848
65,2374
66,2108
66,2333
67,2702
69,2210
69,2534
70,3020
71,2122
71,2129
71,2995
72,2264
73,2746
74,2610
74,3112
75,3158
76,2027
76,2681
78,2360
78,2655
78,2788
78,2816
80,2271
82,2056
83,2338
83,2341
84,2108
85,2929
85,3051
86,2130
86,2143
86,2691
87,2163
87,2394
87,2427
87,2762
87,3122
87,3136
88,2395
91,2146
91,2211
91,2238
91,2384
91,2539
91,2580
91,2966
91,2992
91,3034
91,3118
92,2091
93,2381
95,3017
96,2397
97,3017
99,2101
100,2677
101,2005
101,2244
102,2061
106,3138
108,1975
109,2067
112,2929
112,3051
113,2285
115,1976
115,2832
116,2338
117,2470
118,2824
118,3098
119,2877
121,2285
122,2073
122,2479
122,2575
123,2134
123,2185
123,2285
123,2558
128,2056
128,2070
128,2774
128,2848
130,2072
131,3020
133,2877
135,2146
135,2211
135,2238
135,2384
135,2539
135,2580
135,2966
135,2992
135,3034
135,3118
136,2413
136,2492
139,2002
139,2052
139,2225
139,2278
142,2492
144,3138
145,2016
145,3132
146,2086
147,2266
147,2508
149,2084
149,3031
151,2218
152,2185
153,3147
154,2065
154,2264
154,2637
155,3017
156,2608
158,2341
159,2004
160,2086
163,2198
163,2299
163,2309
163,2373
163,2683
163,2793
164,2108
164,2333
165,3031
167,3138
169,2929
170,2198
171,2403
172,1992
172,2104
172,2247
172,2339
172,2511
172,2784
172,2787
172,2815
172,2922
172,3058
173,2169
175,2338
175,2341
179,2108
179,2333
180,3138
183,2217
183,3104
184,3056
185,2309
185,2683
185,2793
186,2873
186,2887
187,2900
189,2058
190,2134
190,2285
190,2558
191,3048
192,2198
192,2299
192,2373
194,2746
196,3017
198,3017
200,2134
200,2285
200,2558
202,2238
202,2329
202,2417
202,2424
202,2595
202,2901
203,2091
204,2573
205,2790
206,2180
206,2770
207,2010
207,2447
208,2321
208,2516
208,2610
208,2751
208,3112
209,2929
212,2163
212,2394
212,2427
212,2762
212,3122
212,3136
213,2041
213,2160
213,2236
213,2465
213,2564
213,2653
213,3172
214,1992
214,2104
214,2339
214,2511
214,2784
214,2787
214,2815
214,2922
214,3058
216,2265
216,2318
216,2484
216,2486
216,2613
216,2703
216,2736
216,2866
217,2341
220,2108
220,2333
221,2198
221,2299
221,2309
221,2373
221,2683
221,2793
223,2285
225,2985
226,2264
226,2637
227,2185
227,2285
229,2108
229,2333
230,2338
230,2341
231,2198
231,2299
231,2309
231,2373
231,2683
231,2793
231,2910
231,2929
231,3051
232,3158
233,2058
234,2215
235,1993
235,2253
235,2266
235,2295
235,2331
235,2366
235,2379
235,2495
235,2508
235,2567
235,2576
235,2658
235,2668
235,2796
235,3046
235,3171
236,2068
237,2865
241,2271
244,1990
244,2043
244,2984
245,3152
247,2285
248,3017
251,2186
252,1993
252,2576
252,2796
256,2001
259,2307
260,2877
262,2287
262,2290
262,2732
262,3149
265,2805
266,2213
267,2016
267,2026
267,2095
267,2144
267,2151
267,2185
267,2213
267,2449
267,2461
267,2585
267,2608
267,2671
267,2782
267,2897
267,3043
267,3060
267,3106
268,2429
268,2434
268,3066
271,2030
271,2295
271,2740
273,2108
274,3138
275,2198
275,2299
275,2309
275,2373
275,2683
275,2793
275,2910
275,2929
275,3051
276,2216
276,2474
276,3142
281,2758
285,2174
288,2147
289,1976
289,2832
290,1976
290,2832
291,2906
292,2044
293,2146
293,2211
293,2238
293,2384
293,2539
293,2580
293,2966
293,2992
293,3034
293,3118
294,2191
295,3138
296,2287
296,2290
296,2732
296,3107
296,3149
297,2319
297,2789
298,2338
299,2191
299,2194
300,2470
301,1992
301,2104
301,2288
301,2316
301,2339
301,2511
301,2698
301,2784
301,2787
301,2810
301,2815
301,2898
301,2922
301,3058
301,3161
302,2317
304,2134
304,2285
304,2558
310,3138
311,2108
312,2272
312,2330
314,2198
314,2299
314,2373
315,3031
317,2075
317,2584
317,3126
318,1978
318,2041
318,2064
318,2130
318,2143
318,2160
318,2167
318,2170
318,2236
318,2363
318,2465
318,2564
318,2617
318,2653
318,2691
318,2709
318,2734
318,2742
318,2766
318,2780
318,2893
318,2935
318,3172
322,2035
322,2296
322,2874
324,3147
325,2185
325,2285
326,2329
328,2274
329,2130
329,2143
329,2146
329,2211
329,2238
329,2384
329,2539
329,2580
329,2691
329,2966
329,2992
329,3034
329,3118
330,2338
330,2341
330,2761
331,2044
331,2108
331,2274
331,2333
332,2075
333,2929
334,2778
334,2921
337,1988
337,2279
338,1992
338,2104
338,2339
338,2511
338,2660
338,2784
338,2787
338,2815
338,2922
338,3058
341,3146
342,2067
343,2329
343,2929
343,3051
344,2029
344,2220
344,2322
344,2665
345,1978
345,2064
345,2170
345,2709
345,2766
345,2780
345,2893
348,2084
348,2213
349,2975
351,2287
351,2290
351,2732
351,3149
352,2625
352,2921
355,2576
356,2418
356,2832
357,2910
358,2141
359,2794
362,2274
363,2675
365,2361
366,2134
366,2185
366,2285
366,2558
367,2025
369,2452
369,2453
369,2902
373,1976
373,2832
377,3138
378,2392
378,2429
378,2434
378,2534
378,3066
379,2134
379,2285
380,3024
381,2004
382,2272
382,2330
386,2565
387,2556
387,2596
387,2752
387,3153
388,2017
388,3160
390,2861
390,3181
391,1992
391,2104
391,2339
391,2511
391,2784
391,2787
391,2815
391,2922
391,3058
393,2004
394,2207
394,2355
395,2593
395,2937
396,2079
396,2125
396,2164
396,2240
396,2241
396,2255
396,2261
396,2280
396,2300
396,2396
396,2622
396,2631
396,2676
396,2705
396,2750
396,2775
396,2776
396,2792
396,2828
396,2833
396,2881
396,2917
396,2972
396,2982
396,2986
397,2001
402,2237
403,3138
404,2185
404,2213
404,2341
405,2185
405,2213
406,3130
407,2065
407,2264
407,2637
408,2826
409,2271
410,3035
412,2264
413,2820
414,2503
416,2016
416,2026
416,2095
416,2134
416,2144
416,2151
416,2185
416,2213
416,2285
416,2449
416,2461
416,2585
416,2608
416,2671
416,2782
416,2897
416,3043
416,3060
416,3106
422,3051
423,3138
424,2075
424,2584
428,2720
431,2929
431,3051
432,2826
433,3138
434,2338
434,2341
435,1978
435,2064
435,2170
435,2709
435,2766
435,2780
435,2893
436,3107
437,2929
437,3051
438,2789
439,2697
440,2108
440,2333
442,2068
442,2731
445,2134
445,2285
445,2558
446,2264
447,3051
448,2338
449,3004
450,2084
451,3044
452,2108
452,2333
453,3031
453,3127
454,2556
454,2596
454,2752
454,3153
455,2264
455,2637
456,2028
456,2324
458,2543
459,2531
461,2943
463,1978
463,2064
463,2170
463,2709
463,2766
463,2780
463,2893
465,2146
465,2211
465,2238
465,2384
465,2539
465,2580
465,2929
465,2966
465,2992
465,3034
465,3051
465,3118
466,2381
467,1990
467,2043
467,2984
468,2765
469,3138
470,3031
470,3127
471,2397
471,3107
472,3017
474,2719
475,2091
476,1978
476,2012
476,2022
476,2056
476,2064
476,2087
476,2130
476,2143
476,2146
476,2167
476,2170
476,2196
476,2211
476,2238
476,2363
476,2384
476,2443
476,2539
476,2580
476,2617
476,2691
476,2709
476,2734
476,2742
476,2766
476,2767
476,2774
476,2780
476,2858
476,2893
476,2896
476,2935
476,2966
476,2992
476,3034
476,3041
476,3118
477,2108
477,2333
478,1999
478,2274
478,2381
480,2075
480,2534
482,2338
482,2761
483,2045
483,2097
483,2364
483,2483
483,2496
483,2640
483,2654
483,2741
483,2978
483,2996
483,3114
484,2287
484,2290
484,2732
484,3149
485,3110
486,1976
486,2832
488,2338
488,2761
495,2697
497,2584
498,1982
500,2865
501,2900
505,2338
505,2341
506,2198
506,2299
506,2373
507,3138
508,2338
508,2761
509,3138
510,2238
510,2539
511,2423
512,2463
512,2535
514,2091
516,2809
517,3137
519,2824
519,3098
520,2285
522,3017
523,2880
524,2174
525,2185
525,2213
525,2285
526,3051
528,2146
528,2211
528,2238
528,2384
528,2539
528,2580
528,2966
528,2992
528,3034
528,3118
529,3158
530,2084
530,3031
532,2197
533,3110
537,2338
540,2109
540,2121
540,2231
540,2282
540,2294
540,2308
540,2329
540,2365
540,2371
540,2424
540,2460
540,2464
540,2466
540,2482
540,2498
540,2528
540,2571
540,2607
540,2612
540,2636
540,2687
540,2690
540,2707
540,2743
540,2755
540,2804
540,2829
540,2844
540,2901
540,2974
540,3026
540,3038
540,3059
540,3091
540,3094
540,3103
540,3108
540,3135
540,3174
540,3179
542,2108
543,2198
543,2299
543,2309
543,2373
543,2683
543,2793
543,2910
543,2929
543,3051
544,3008
546,2264
548,2156
548,3004
549,3017
551,2492
552,2990
552,3073
553,2264
555,3016
557,2271
560,2010
560,2093
560,2366
561,1990
561,2014
561,2042
561,2043
561,2135
561,2154
561,2209
561,2287
561,2290
561,2487
561,2530
561,2546
561,2587
561,2681
561,2718
561,2732
561,2806
561,2827
561,2888
561,2961
561,2984
561,3002
561,3011
561,3115
561,3148
561,3149
563,3017
565,2156
565,3004
567,2198
567,2299
567,2373
568,2086
569,3017
570,1987
570,1997
570,2099
570,2100
570,2119
570,2120
570,2132
570,2142
570,2202
570,2223
570,2227
570,2230
570,2284
570,2304
570,2305
570,2310
570,2348
570,2400
570,2415
570,2445
570,2475
570,2513
570,2540
570,2549
570,2570
570,2577
570,2601
570,2614
570,2621
570,2632
570,2657
570,2678
570,2693
570,2706
570,2708
570,2769
570,2913
570,2914
570,2923
570,2927
570,2945
570,2958
570,2969
570,2991
570,3025
570,3036
570,3042
570,3057
570,3131
570,3141
570,3162
573,2187
573,2977
574,2218
575,2089
575,2650
576,1980
576,1992
576,2104
576,2339
576,2511
576,2784
576,2787
576,2815
576,2922
576,3058
579,2272
579,2330
580,2527
581,2082
581,2682
581,3064
582,2146
582,2211
582,2238
582,2384
582,2539
582,2580
582,2966
582,2992
582,3034
582,3118
583,3017
584,2394
584,2427
584,3122
585,2146
585,2211
585,2238
585,2384
585,2539
585,2580
585,2966
585,2992
585,3034
585,3118
586,3017
588,2798
590,2837
591,1993
591,2075
591,2157
591,2159
591,2277
591,2295
591,2340
591,2350
591,2376
591,2576
591,2584
591,2634
591,2658
591,2724
591,2726
591,2781
591,2796
591,2797
591,2884
591,2957
591,2964
591,2968
591,3039
591,3126
591,3151
592,2702
594,2004
595,1975
596,3138
597,3138
598,2338
598,2341
599,2677
603,2198
603,2299
603,2309
603,2373
603,2683
603,2793
603,2910
603,2929
603,3051
605,3185
606,2174
607,2075
607,2584
607,3126
608,1978
608,2064
608,2130
608,2143
608,2167
608,2170
608,2363
608,2617
608,2691
608,2709
608,2734
608,2742
608,2766
608,2780
608,2893
608,2935
610,2084
610,3031
611,1992
611,2104
611,2339
611,2511
611,2784
611,2787
611,2815
611,2922
611,3058
612,2387
617,2413
617,2492
619,3017
620,2084
621,2101
622,2138
625,3017
626,2338
627,3165
628,2169
632,2980
634,2092
634,2293
634,3083
634,3096
636,2108
636,2333
637,3136
638,3138
639,2338
640,2084
640,3031
642,2423
643,2338
644,2264
646,2503
647,2766
648,2144
649,3044
652,2990
652,3073
653,2061
656,3138
657,2952
657,2956
658,2186
659,2012
659,2022
659,2196
659,2767
660,3138
661,1978
661,2064
661,2130
661,2143
661,2167
661,2170
661,2363
661,2617
661,2691
661,2709
661,2734
661,2742
661,2766
661,2780
661,2893
661,2935
661,3167
662,2144
662,2341
662,2608
665,2191
667,1978
667,2064
667,2170
667,2709
667,2766
667,2780
667,2893
668,2302
670,2813
677,2794
677,3097
679,3051
680,2697
682,3017
683,2495
683,3184
684,2162
685,2943
686,2492
687,2293
688,2929
688,3051
689,2361
692,2851
697,1978
697,2064
697,2170
697,2709
697,2766
697,2780
697,2893
698,2198
698,2338
699,2198
699,2299
699,2373
700,2086
701,1992
701,2104
701,2339
701,2511
701,2784
701,2787
701,2815
701,2922
701,3058
702,2326
703,2134
703,2285
703,2558
705,2264
707,2107
708,2215
710,2746
711,2586
712,2573
712,2977
715,2710
715,2841
715,2916
717,2906
718,1992
718,2104
718,2339
718,2511
718,2784
718,2787
718,2815
718,2922
718,3058
719,2381
720,2338
720,2761
721,1976
721,2832
723,2097
723,2640
723,2654
723,2978
724,2134
724,2285
724,2338
724,2341
724,2558
724,3053
724,3132
725,3017
727,2116
732,2174
733,2234
735,2285
736,2016
736,2095
736,2144
736,2151
736,2185
736,2213
736,2558
736,2782
736,3106
737,2174
738,2285
738,3132
739,2403
740,2218
741,2174
742,3107
744,2461
744,2671
744,3060
746,2578
746,2859
747,2534
751,2265
751,2484
751,2613
751,2736
754,3017
756,2492
757,3138
758,1976
758,2832
759,2075
760,2556
760,2596
760,2752
760,3153
761,2007
761,2036
761,2439
761,2600
762,2620
762,3183
765,1978
765,2064
765,2130
765,2143
765,2146
765,2167
765,2170
765,2211
765,2238
765,2363
765,2384
765,2539
765,2580
765,2617
765,2691
765,2709
765,2734
765,2742
765,2766
765,2780
765,2893
765,2935
765,2966
765,2992
765,3034
765,3118
766,2798
768,3028
769,2950
771,2005
772,2198
772,2299
772,2309
772,2373
772,2683
772,2793
773,2266
773,2366
773,2495
774,2677
776,2084
776,3031
777,3110
778,3031
779,2086
783,2296
783,2874
786,2850
786,2877
787,2877
788,2134
788,2185
788,2213
788,2285
788,2558
791,2061
792,2849
793,2185
793,2285
793,2608
794,2906
795,2185
795,2285
797,2358
798,2526
799,2990
801,3138
802,2234
802,2265
802,2484
802,2613
802,2736
803,2868
806,2412
808,2849
810,2583
810,2758
814,2084
814,3031
814,3127
815,2798
816,2375
818,2180
818,2770
819,3017
820,2174
821,2433
823,2414
825,2169
826,2147
827,2910
827,2929
827,3051
828,2186
829,3138
830,2397
831,2108
831,2333
832,2061
834,2048
834,2670
834,2737
836,2461
836,2671
836,3060
838,1996
838,2110
838,2212
838,2252
838,2370
838,2519
838,2606
838,2979
838,3000
838,3010
838,3065
838,3074
841,2437
842,2165
844,3044
845,2108
845,2333
846,2041
846,2160
846,2236
846,2465
846,2564
846,2653
846,3172
847,2025
850,2397
851,2906
852,2191
854,2941
855,2272
855,2330
856,2397
857,2016
857,2026
857,2095
857,2144
857,2151
857,2185
857,2213
857,2449
857,2461
857,2585
857,2608
857,2671
857,2782
857,2897
857,3043
857,3060
857,3106
863,2146
863,2211
863,2238
863,2384
863,2539
863,2580
863,2966
863,2992
863,3034
863,3118
865,2198
865,2299
865,2309
865,2373
865,2412
865,2683
865,2793
865,3138
866,3138
867,2611
868,3051
869,1996
869,2110
869,2212
869,2252
869,2370
869,2519
869,2606
869,2979
869,3000
869,3010
869,3065
869,3074
870,2272
870,2330
871,2761
875,2438
875,2925
876,2929
876,3051
878,2065
878,2264
878,2637
880,2185
880,2198
880,2213
880,2285
880,2299
880,2338
880,2373
880,3138
881,2765
883,2135
884,2146
884,2211
884,2238
884,2384
884,2539
884,2580
884,2966
884,2992
884,3034
884,3118
886,2877
887,2943
888,2084
888,3031
889,2217
889,3104
890,2271
891,3133
893,2000
897,2138
898,1988
900,2044
900,2108
900,2333
901,2665
903,2134
903,2185
903,2285
903,2558
905,2412
906,2234
907,3044
909,2602
910,1988
910,2279
912,2264
914,2366
914,2508
915,2414
917,2084
919,2198
919,2299
919,2373
920,2048
920,2670
920,2737
922,2156
922,3004
924,2108
924,2333
926,3024
928,2185
928,2285
928,2341
929,3020
930,2366
930,2508
931,2394
931,2427
931,3122
932,1978
932,2064
932,2170
932,2709
932,2766
932,2780
932,2893
933,2492
935,2184
936,2122
936,2129
936,2995
938,2531
939,2134
939,2185
939,2285
939,2558
939,3053
939,3132
940,2005
942,3044
944,2897
945,2593
945,2937
947,2395
948,2387
949,2313
952,2108
952,2333
953,2108
953,2333
954,2302
956,3138
957,2146
957,2211
957,2238
957,2384
957,2539
957,2580
957,2966
957,2992
957,3034
957,3118
958,3027
